"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;28359606;0.139;32.40;54.45;2.984;10.4;234.3;6.6;0.0;50.00;0.03;0;0;0.00003;-0.97949;
1111 1111 0000 0000;28361606;0.139;31.81;54.47;2.983;10.4;234.6;6.6;0.0;50.01;0.03;0;0;0.00003;-0.97028;
1111 1111 0000 0000;28363606;0.139;32.41;54.46;2.983;10.5;234.3;6.6;0.0;50.00;0.03;0;0;0.00000;-0.96295;
1111 1111 0000 0000;28369706;0.139;31.70;54.52;2.984;10.4;234.1;6.6;0.0;49.99;0.04;0;0;0.00000;-0.98145;
1111 1111 0000 0000;28371827;0.139;32.40;54.47;2.984;10.4;234.3;6.6;0.0;49.98;0.03;0;0;0.00003;-0.99103;
1111 1111 0000 0000;28373807;0.139;31.80;54.46;2.984;10.5;234.4;6.6;0.0;49.99;0.04;0;0;-0.00003;148.83728;
1111 1111 0000 0000;28378438;0.139;31.81;54.50;2.983;10.5;234.4;6.6;0.0;49.98;0.03;0;0;0.00000;148.30627;
1111 1111 0000 0000;28380438;0.139;32.30;54.50;2.984;10.4;234.4;6.6;0.0;49.99;0.04;0;0;0.00003;-0.98132;"Walid is great";
1111 1111 0000 0000;28382991;0.139;32.01;54.49;2.983;10.4;234.3;6.6;0.0;49.99;0.03;0;0;-0.00003;-0.99353;
1111 1111 0000 0000;28384556;0.139;31.80;54.46;2.984;10.5;234.2;6.6;0.0;49.99;0.04;0;0;0.00000;148.81897;
1111 1111 0000 0000;28388586;0.139;31.20;54.42;2.983;10.5;234.1;6.6;0.0;49.99;0.03;0;0;0.00000;148.13232;
1111 1111 0000 0000;28390577;0.139;31.70;54.43;2.984;10.7;234.0;6.6;0.0;50.00;0.04;0;0;0.00000;-0.99200;
1111 1111 0000 0000;28392667;0.139;32.41;54.41;2.983;10.3;234.3;6.6;0.0;50.00;0.03;0;0;-0.00003;-0.97638;
1111 1111 0000 0000;28394677;0.139;31.81;54.43;2.983;10.4;234.2;6.6;0.0;50.01;0.04;0;0;0.00000;-0.97314;
1111 1111 0000 0000;28398677;0.139;31.81;54.46;2.983;10.5;234.1;6.3;0.0;50.00;0.04;0;0;0.00000;148.44360;
1111 1111 0000 0000;28400677;0.139;31.70;54.43;2.984;10.5;234.0;6.6;0.0;50.00;0.04;0;0;0.00003;-0.99243;
1111 1111 0000 0000;28402678;0.139;32.40;54.36;2.984;10.4;234.1;6.6;0.0;50.00;0.03;0;0;-0.00003;-0.97290;
1111 1111 0000 0000;28404678;0.139;31.80;54.38;2.983;10.5;234.0;6.6;0.0;49.99;0.03;0;0;0.00003;-0.99072;
1111 1111 0000 0000;28408686;0.139;31.80;54.40;2.983;10.4;234.0;6.6;0.0;49.99;0.02;0;0;0.00000;-0.96082;
1111 1111 0000 0000;28411256;0.139;32.40;54.41;2.983;10.4;234.0;6.6;0.0;49.99;0.03;0;0;-0.00003;-0.97943;"Walid is great";
1111 1111 0000 0000;28412757;0.139;31.80;54.42;2.984;10.5;234.3;6.3;0.0;50.00;0.04;0;0;0.00000;-0.96252;
1111 1111 0000 0000;28414757;0.139;32.41;54.40;2.984;10.4;233.9;6.6;0.0;49.98;0.03;0;0;0.00000;-0.98853;
1111 1111 0000 0000;28418806;0.139;32.41;54.42;2.983;10.4;234.0;6.3;0.0;49.98;0.03;0;0;-0.00003;-0.99670;
1111 1111 0000 0000;28420807;0.139;31.70;54.41;2.984;10.5;233.9;6.6;0.0;49.98;0.04;0;0;-0.00003;-0.99182;
